"","X","Threshold","Sensitivity","Specificity","AUC"
"1","3%",NA,NA,NA,NA
"2","Full 0.5",0.5,0,100,97
"11","Full Youden",0.03,67.8,64.1,64.2
"4","Down 0.5",0.5,65.8,64.1,64.1
"3","Down Youden",0.493,67.9,63.7,63.9
"6","Up 0.5",0.5,65.6,64.4,64.5
"5","Up Youden",0.496,67.9,64,64.2
"8","SMOTE 0.5",0.5,49.2,78.8,78
"7","SMOTE Youden",0.424,68,63.8,64
"10","5%",NA,NA,NA,NA
"21","Full 0.5",0.5,0,100,95
"12","Full Youden",0.05,67.6,63.8,64
"41","Down 0.5",0.5,65.8,64,64.1
"31","Down Youden",0.496,67.6,63.7,63.9
"61","Up 0.5",0.5,66.1,63.9,64.1
"51","Up Youden",0.497,67.6,63.8,64
"81","SMOTE 0.5",0.5,49.1,78.8,77.3
"71","SMOTE Youden",0.426,67.6,63.7,63.9
"19","10%",NA,NA,NA,NA
"22","Full 0.5",0.5,0,100,89.9
"13","Full Youden",0.101,67.9,62.8,63.3
"42","Down 0.5",0.5,67.1,62.7,63.2
"32","Down Youden",0.496,68,62.6,63.1
"62","Up 0.5",0.5,67.4,62.4,62.9
"52","Up Youden",0.497,67.9,62.8,63.3
"82","SMOTE 0.5",0.5,48.6,78.9,75.8
"72","SMOTE Youden",0.426,67.9,62.7,63.3
"28","50%",NA,NA,NA,NA
"23","Full 0.5",0.5,63.2,65.3,64.2
"14","Full Youden",0.499,62.5,66.1,64.3
"43","Down 0.5",0.5,63.2,65.2,64.2
"33","Down Youden",0.5,62.5,66.1,64.3
"63","Up 0.5",0.5,63.2,65.2,64.2
"53","Up Youden",0.5,62.5,66.1,64.3
"83","SMOTE 0.5",0.5,53.7,72.8,63.3
"73","SMOTE Youden",0.485,62.5,66.1,64.3
