,Threshold,Sensitivity,Specificity ,Accuracy,AUC,Coefficients,,
3%,,,,,,,,
Unsampled,0.03,70,75,74,79,6,,
Unsamped 0.5,0.50,2,100,97,79,6,,
Down Sampled,0.49,70,74,74,78,9,,
Up Sampled,0.48,70,74,74,78,27,,
SMOTE,0.41,70,74,74,78,15,,
5%,,,,,,,,
Unsampled,0.05,69,74,74,78,7,,
Unsamped 0.5,0.50,4,100,95,78,7,,
Down Sampled,0.49,69,74,74,78,9,,
Up Sampled,0.49,69,74,74,78,23,,
SMOTE,0.41,69,74,74,78,16,,
10%,,,,,,,,
Unsampled,0.10,68,74,73,77,8,,
Unsamped 0.5,0.50,8,100,91,77,8,,
Down Sampled,0.49,68,74,73,77,9,,
Up Sampled,0.49,68,74,73,77,18,,
SMOTE,0.42,68,73,73,77,19,,
20%,,,,,,,,
Unsampled,0.20,66,73,72,76,8,,
Unsamped 0.5,0.50,21,97,82,76,8,,
Down Sampled,0.49,66,73,72,76,9,,
Up Sampled,0.49,66,73,72,76,13,,
SMOTE,0.42,66,72,71,75,23,,
40%,,,,,,,,
Unsampled,0.39,66,71,69,74,9,,
Unsamped 0.5,0.50,49,84,70,74,9,,
Down Sampled,0.49,66,71,69,74,9,,
Up Sampled,0.49,65,71,69,74,10,,
SMOTE,0.41,64,71,68,73,28,,
50%,,,,,,,,
Unsampled,0.49,63,72,68,73,9,,
Unsamped 0.5,0.50,63,72,68,73,9,,
